Name,Sex,Sport,Team,Value Column Name,Value
Mark Andrew Spitz,M,Swimming,United States,Bronze Medals,1
"Matthew Nicholas Matt"" Biondi""",All,All,All,Medals,
"Matthew Nicholas Matt"" Biondi""",All,All,All,Gold Medals,
"Matthew Nicholas Matt"" Biondi""",All,All,All,Silver Medals,
"Matthew Nicholas Matt"" Biondi""",All,All,All,Bronze Medals,
"Matthew Nicholas Matt"" Biondi""",M,All,All,Medals,
"Matthew Nicholas Matt"" Biondi""",M,All,All,Gold Medals,
"Matthew Nicholas Matt"" Biondi""",M,All,All,Silver Medals,
"Matthew Nicholas Matt"" Biondi""",M,All,All,Bronze Medals,
"Matthew Nicholas Matt"" Biondi""",M,Swimming,All,Medals,
"Matthew Nicholas Matt"" Biondi""",M,Swimming,All,Gold Medals,
"Matthew Nicholas Matt"" Biondi""",M,Swimming,All,Silver Medals,
"Matthew Nicholas Matt"" Biondi""",M,Swimming,All,Bronze Medals,
"Matthew Nicholas Matt"" Biondi""",M,Swimming,United States,Medals,11
"Matthew Nicholas Matt"" Biondi""",M,Swimming,United States,Gold Medals,8
"Matthew Nicholas Matt"" Biondi""",M,Swimming,United States,Silver Medals,2
"Matthew Nicholas Matt"" Biondi""",M,Swimming,United States,Bronze Medals,1
Viktor Ivanovych Chukarin,All,All,All,Medals,
Viktor Ivanovych Chukarin,All,All,All,Gold Medals,
Viktor Ivanovych Chukarin,All,All,All,Silver Medals,
Viktor Ivanovych Chukarin,All,All,All,Bronze Medals,
Viktor Ivanovych Chukarin,M,All,All,Medals,
Viktor Ivanovych Chukarin,M,All,All,Gold Medals,
Viktor Ivanovych Chukarin,M,All,All,Silver Medals,
Viktor Ivanovych Chukarin,M,All,All,Bronze Medals,
Viktor Ivanovych Chukarin,M,Gymnastics,All,Medals,
Viktor Ivanovych Chukarin,M,Gymnastics,All,Gold Medals,
Viktor Ivanovych Chukarin,M,Gymnastics,All,Silver Medals,
Viktor Ivanovych Chukarin,M,Gymnastics,All,Bronze Medals,
Viktor Ivanovych Chukarin,M,Gymnastics,Soviet Union,Medals,11
Viktor Ivanovych Chukarin,M,Gymnastics,Soviet Union,Gold Medals,7
Viktor Ivanovych Chukarin,M,Gymnastics,Soviet Union,Silver Medals,3
Viktor Ivanovych Chukarin,M,Gymnastics,Soviet Union,Bronze Medals,1
Vra slavsk (-Odloilov),All,All,All,Medals,
Vra slavsk (-Odloilov),All,All,All,Gold Medals,
Vra slavsk (-Odloilov),All,All,All,Silver Medals,
Vra slavsk (-Odloilov),All,All,All,Bronze Medals,
Vra slavsk (-Odloilov),F,All,All,Medals,
Vra slavsk (-Odloilov),F,All,All,Gold Medals,
Vra slavsk (-Odloilov),F,All,All,Silver Medals,
Vra slavsk (-Odloilov),F,All,All,Bronze Medals,
Vra slavsk (-Odloilov),F,Gymnastics,All,Medals,
Vra slavsk (-Odloilov),F,Gymnastics,All,Gold Medals,
Vra slavsk (-Odloilov),F,Gymnastics,All,Silver Medals,
Vra slavsk (-Odloilov),F,Gymnastics,All,Bronze Medals,
Vra slavsk (-Odloilov),F,Gymnastics,Czechoslovakia,Medals,11
Vra slavsk (-Odloilov),F,Gymnastics,Czechoslovakia,Gold Medals,7
Vra slavsk (-Odloilov),F,Gymnastics,Czechoslovakia,Silver Medals,4
Vra slavsk (-Odloilov),F,Gymnastics,Czechoslovakia,Bronze Medals,0
Akinori Nakayama,All,All,All,Medals,
Akinori Nakayama,All,All,All,Gold Medals,
Akinori Nakayama,All,All,All,Silver Medals,
Akinori Nakayama,All,All,All,Bronze Medals,
Akinori Nakayama,M,All,All,Medals,
Akinori Nakayama,M,All,All,Gold Medals,
Akinori Nakayama,M,All,All,Silver Medals,
Akinori Nakayama,M,All,All,Bronze Medals,
Akinori Nakayama,M,Gymnastics,All,Medals,
Akinori Nakayama,M,Gymnastics,All,Gold Medals,
Akinori Nakayama,M,Gymnastics,All,Silver Medals,
Akinori Nakayama,M,Gymnastics,All,Bronze Medals,
Akinori Nakayama,M,Gymnastics,Japan,Medals,10
Akinori Nakayama,M,Gymnastics,Japan,Gold Medals,6
Akinori Nakayama,M,Gymnastics,Japan,Silver Medals,2
Akinori Nakayama,M,Gymnastics,Japan,Bronze Medals,2
Aladr Gerevich (-Gerei),All,All,All,Medals,
Aladr Gerevich (-Gerei),All,All,All,Gold Medals,
Aladr Gerevich (-Gerei),All,All,All,Silver Medals,
Aladr Gerevich (-Gerei),All,All,All,Bronze Medals,
Aladr Gerevich (-Gerei),M,All,All,Medals,
Aladr Gerevich (-Gerei),M,All,All,Gold Medals,
Aladr Gerevich (-Gerei),M,All,All,Silver Medals,
Aladr Gerevich (-Gerei),M,All,All,Bronze Medals,
Aladr Gerevich (-Gerei),M,Fencing,All,Medals,
Aladr Gerevich (-Gerei),M,Fencing,All,Gold Medals,
Aladr Gerevich (-Gerei),M,Fencing,All,Silver Medals,
Aladr Gerevich (-Gerei),M,Fencing,All,Bronze Medals,
Aladr Gerevich (-Gerei),M,Fencing,Hungary,Medals,10
Aladr Gerevich (-Gerei),M,Fencing,Hungary,Gold Medals,7
Aladr Gerevich (-Gerei),M,Fencing,Hungary,Silver Medals,1
Aladr Gerevich (-Gerei),M,Fencing,Hungary,Bronze Medals,2
Aleksandr Nikolayevich Dityatin,All,All,All,Medals,
Aleksandr Nikolayevich Dityatin,All,All,All,Gold Medals,
Aleksandr Nikolayevich Dityatin,All,All,All,Silver Medals,
Aleksandr Nikolayevich Dityatin,All,All,All,Bronze Medals,
Aleksandr Nikolayevich Dityatin,M,All,All,Medals,
Aleksandr Nikolayevich Dityatin,M,All,All,Gold Medals,
Aleksandr Nikolayevich Dityatin,M,All,All,Silver Medals,
Aleksandr Nikolayevich Dityatin,M,All,All,Bronze Medals,
Aleksandr Nikolayevich Dityatin,M,Gymnastics,All,Medals,
Aleksandr Nikolayevich Dityatin,M,Gymnastics,All,Gold Medals,
Aleksandr Nikolayevich Dityatin,M,Gymnastics,All,Silver Medals,
Aleksandr Nikolayevich Dityatin,M,Gymnastics,All,Bronze Medals,
Aleksandr Nikolayevich Dityatin,M,Gymnastics,Soviet Union,Medals,10
Aleksandr Nikolayevich Dityatin,M,Gymnastics,Soviet Union,Gold Medals,3
Aleksandr Nikolayevich Dityatin,M,Gymnastics,Soviet Union,Silver Medals,6
Aleksandr Nikolayevich Dityatin,M,Gymnastics,Soviet Union,Bronze Medals,1
Franziska van Almsick,All,All,All,Medals,
Franziska van Almsick,All,All,All,Gold Medals,
Franziska van Almsick,All,All,All,Silver Medals,
Franziska van Almsick,All,All,All,Bronze Medals,
Franziska van Almsick,F,All,All,Medals,
Franziska van Almsick,F,All,All,Gold Medals,
Franziska van Almsick,F,All,All,Silver Medals,
Franziska van Almsick,F,All,All,Bronze Medals,
Franziska van Almsick,F,Swimming,All,Medals,
Franziska van Almsick,F,Swimming,All,Gold Medals,
Franziska van Almsick,F,Swimming,All,Silver Medals,
Franziska van Almsick,F,Swimming,All,Bronze Medals,
Franziska van Almsick,F,Swimming,Germany,Medals,10
Franziska van Almsick,F,Swimming,Germany,Gold Medals,0
Franziska van Almsick,F,Swimming,Germany,Silver Medals,4
Franziska van Almsick,F,Swimming,Germany,Bronze Medals,6
"Frederick Carlton Carl"" Lewis""",All,All,All,Medals,
"Frederick Carlton Carl"" Lewis""",All,All,All,Gold Medals,
"Frederick Carlton Carl"" Lewis""",All,All,All,Silver Medals,
"Frederick Carlton Carl"" Lewis""",All,All,All,Bronze Medals,
"Frederick Carlton Carl"" Lewis""",M,All,All,Medals,
"Frederick Carlton Carl"" Lewis""",M,All,All,Gold Medals,
"Frederick Carlton Carl"" Lewis""",M,All,All,Silver Medals,
"Frederick Carlton Carl"" Lewis""",M,All,All,Bronze Medals,
"Frederick Carlton Carl"" Lewis""",M,Athletics,All,Medals,
"Frederick Carlton Carl"" Lewis""",M,Athletics,All,Gold Medals,
"Frederick Carlton Carl"" Lewis""",M,Athletics,All,Silver Medals,
"Frederick Carlton Carl"" Lewis""",M,Athletics,All,Bronze Medals,
"Frederick Carlton Carl"" Lewis""",M,Athletics,United States,Medals,10
"Frederick Carlton Carl"" Lewis""",M,Athletics,United States,Gold Medals,9
"Frederick Carlton Carl"" Lewis""",M,Athletics,United States,Silver Medals,1
"Frederick Carlton Carl"" Lewis""",M,Athletics,United States,Bronze Medals,0
"Gary Wayne Hall, Jr.",All,All,All,Medals,
"Gary Wayne Hall, Jr.",All,All,All,Gold Medals,
"Gary Wayne Hall, Jr.",All,All,All,Silver Medals,
"Gary Wayne Hall, Jr.",All,All,All,Bronze Medals,
"Gary Wayne Hall, Jr.",M,All,All,Medals,
"Gary Wayne Hall, Jr.",M,All,All,Gold Medals,
"Gary Wayne Hall, Jr.",M,All,All,Silver Medals,
"Gary Wayne Hall, Jr.",M,All,All,Bronze Medals,
"Gary Wayne Hall, Jr.",M,Swimming,All,Medals,
"Gary Wayne Hall, Jr.",M,Swimming,All,Gold Medals,
"Gary Wayne Hall, Jr.",M,Swimming,All,Silver Medals,
"Gary Wayne Hall, Jr.",M,Swimming,All,Bronze Medals,
"Gary Wayne Hall, Jr.",M,Swimming,United States,Medals,10
"Gary Wayne Hall, Jr.",M,Swimming,United States,Gold Medals,5
"Gary Wayne Hall, Jr.",M,Swimming,United States,Silver Medals,3
"Gary Wayne Hall, Jr.",M,Swimming,United States,Bronze Medals,2
Gerard Theodor Hubert Van Innis,All,All,All,Medals,
Gerard Theodor Hubert Van Innis,All,All,All,Gold Medals,
Gerard Theodor Hubert Van Innis,All,All,All,Silver Medals,
Gerard Theodor Hubert Van Innis,All,All,All,Bronze Medals,
Gerard Theodor Hubert Van Innis,M,All,All,Medals,
Gerard Theodor Hubert Van Innis,M,All,All,Gold Medals,
Gerard Theodor Hubert Van Innis,M,All,All,Silver Medals,
Gerard Theodor Hubert Van Innis,M,All,All,Bronze Medals,
Gerard Theodor Hubert Van Innis,M,Archery,All,Medals,
Gerard Theodor Hubert Van Innis,M,Archery,All,Gold Medals,
Gerard Theodor Hubert Van Innis,M,Archery,All,Silver Medals,
Gerard Theodor Hubert Van Innis,M,Archery,All,Bronze Medals,
Gerard Theodor Hubert Van Innis,M,Archery,Belgium,Medals,10
Gerard Theodor Hubert Van Innis,M,Archery,Belgium,Gold Medals,6
Gerard Theodor Hubert Van Innis,M,Archery,Belgium,Silver Medals,4
Gerard Theodor Hubert Van Innis,M,Archery,Belgium,Bronze Medals,0
gnes Keleti-Srkny (Klein),All,All,All,Medals,
gnes Keleti-Srkny (Klein),All,All,All,Gold Medals,
gnes Keleti-Srkny (Klein),All,All,All,Silver Medals,
gnes Keleti-Srkny (Klein),All,All,All,Bronze Medals,
gnes Keleti-Srkny (Klein),F,All,All,Medals,
gnes Keleti-Srkny (Klein),F,All,All,Gold Medals,
gnes Keleti-Srkny (Klein),F,All,All,Silver Medals,
gnes Keleti-Srkny (Klein),F,All,All,Bronze Medals,
gnes Keleti-Srkny (Klein),F,Gymnastics,All,Medals,
gnes Keleti-Srkny (Klein),F,Gymnastics,All,Gold Medals,
gnes Keleti-Srkny (Klein),F,Gymnastics,All,Silver Medals,
gnes Keleti-Srkny (Klein),F,Gymnastics,All,Bronze Medals,
gnes Keleti-Srkny (Klein),F,Gymnastics,Hungary,Medals,10
gnes Keleti-Srkny (Klein),F,Gymnastics,Hungary,Gold Medals,5
gnes Keleti-Srkny (Klein),F,Gymnastics,Hungary,Silver Medals,3
gnes Keleti-Srkny (Klein),F,Gymnastics,Hungary,Bronze Medals,2
Marit Bjrgen,All,All,All,Medals,
Marit Bjrgen,All,All,All,Gold Medals,
Marit Bjrgen,All,All,All,Silver Medals,
Marit Bjrgen,All,All,All,Bronze Medals,
Marit Bjrgen,F,All,All,Medals,
Marit Bjrgen,F,All,All,Gold Medals,
Marit Bjrgen,F,All,All,Silver Medals,
Marit Bjrgen,F,All,All,Bronze Medals,
Marit Bjrgen,F,Cross Country Skiing,All,Medals,
Marit Bjrgen,F,Cross Country Skiing,All,Gold Medals,
Marit Bjrgen,F,Cross Country Skiing,All,Silver Medals,
Marit Bjrgen,F,Cross Country Skiing,All,Bronze Medals,
Marit Bjrgen,F,Cross Country Skiing,Norway,Medals,10
Marit Bjrgen,F,Cross Country Skiing,Norway,Gold Medals,6
Marit Bjrgen,F,Cross Country Skiing,Norway,Silver Medals,3
Marit Bjrgen,F,Cross Country Skiing,Norway,Bronze Medals,1
Polina Hryhorivna Astakhova,All,All,All,Medals,
Polina Hryhorivna Astakhova,All,All,All,Gold Medals,
Polina Hryhorivna Astakhova,All,All,All,Silver Medals,
Polina Hryhorivna Astakhova,All,All,All,Bronze Medals,
Polina Hryhorivna Astakhova,F,All,All,Medals,
Polina Hryhorivna Astakhova,F,All,All,Gold Medals,
Polina Hryhorivna Astakhova,F,All,All,Silver Medals,
Polina Hryhorivna Astakhova,F,All,All,Bronze Medals,
Polina Hryhorivna Astakhova,F,Gymnastics,All,Medals,
Polina Hryhorivna Astakhova,F,Gymnastics,All,Gold Medals,
Polina Hryhorivna Astakhova,F,Gymnastics,All,Silver Medals,
Polina Hryhorivna Astakhova,F,Gymnastics,All,Bronze Medals,
Polina Hryhorivna Astakhova,F,Gymnastics,Soviet Union,Medals,10
Polina Hryhorivna Astakhova,F,Gymnastics,Soviet Union,Gold Medals,5
Polina Hryhorivna Astakhova,F,Gymnastics,Soviet Union,Silver Medals,2
Polina Hryhorivna Astakhova,F,Gymnastics,Soviet Union,Bronze Medals,3
"Raymond Clarence Ray"" Ewry""",All,All,All,Medals,
"Raymond Clarence Ray"" Ewry""",All,All,All,Gold Medals,
"Raymond Clarence Ray"" Ewry""",All,All,All,Silver Medals,
"Raymond Clarence Ray"" Ewry""",All,All,All,Bronze Medals,
"Raymond Clarence Ray"" Ewry""",M,All,All,Medals,
"Raymond Clarence Ray"" Ewry""",M,All,All,Gold Medals,
"Raymond Clarence Ray"" Ewry""",M,All,All,Silver Medals,
"Raymond Clarence Ray"" Ewry""",M,All,All,Bronze Medals,
"Raymond Clarence Ray"" Ewry""",M,Athletics,All,Medals,
"Raymond Clarence Ray"" Ewry""",M,Athletics,All,Gold Medals,
"Raymond Clarence Ray"" Ewry""",M,Athletics,All,Silver Medals,
"Raymond Clarence Ray"" Ewry""",M,Athletics,All,Bronze Medals,
"Raymond Clarence Ray"" Ewry""",M,Athletics,United States,Medals,10
"Raymond Clarence Ray"" Ewry""",M,Athletics,United States,Gold Medals,10
"Raymond Clarence Ray"" Ewry""",M,Athletics,United States,Silver Medals,0
"Raymond Clarence Ray"" Ewry""",M,Athletics,United States,Bronze Medals,0
Stefania Belmondo,All,All,All,Medals,
Stefania Belmondo,All,All,All,Gold Medals,
Stefania Belmondo,All,All,All,Silver Medals,
Stefania Belmondo,All,All,All,Bronze Medals,
Stefania Belmondo,F,All,All,Medals,
Stefania Belmondo,F,All,All,Gold Medals,
Stefania Belmondo,F,All,All,Silver Medals,
Stefania Belmondo,F,All,All,Bronze Medals,
Stefania Belmondo,F,Cross Country Skiing,All,Medals,
Stefania Belmondo,F,Cross Country Skiing,All,Gold Medals,
Stefania Belmondo,F,Cross Country Skiing,All,Silver Medals,
Stefania Belmondo,F,Cross Country Skiing,All,Bronze Medals,
Stefania Belmondo,F,Cross Country Skiing,Italy,Medals,10
Stefania Belmondo,F,Cross Country Skiing,Italy,Gold Medals,2
Stefania Belmondo,F,Cross Country Skiing,Italy,Silver Medals,3
Stefania Belmondo,F,Cross Country Skiing,Italy,Bronze Medals,5
Yang Yang,All,All,All,Medals,
Yang Yang,All,All,All,Gold Medals,
Yang Yang,All,All,All,Silver Medals,
Yang Yang,All,All,All,Bronze Medals,
Yang Yang,F,All,All,Medals,
Yang Yang,F,All,All,Gold Medals,
Yang Yang,F,All,All,Silver Medals,
Yang Yang,F,All,All,Bronze Medals,
Yang Yang,F,Short Track Speed Skating,All,Medals,
Yang Yang,F,Short Track Speed Skating,All,Gold Medals,
Yang Yang,F,Short Track Speed Skating,All,Silver Medals,
Yang Yang,F,Short Track Speed Skating,All,Bronze Medals,
Yang Yang,F,Short Track Speed Skating,China,Medals,10
Yang Yang,F,Short Track Speed Skating,China,Gold Medals,2
Yang Yang,F,Short Track Speed Skating,China,Silver Medals,6
Yang Yang,F,Short Track Speed Skating,China,Bronze Medals,2