Opponent,Value Column Name,Value
All,JordanFg,12173
All,JordanLebronFt,7314
CLEVELAND CAVALIERS,JordanFg,813
CLEVELAND CAVALIERS,JordanLebronFt,396
MILWAUKEE BUCKS,JordanFg,773
MILWAUKEE BUCKS,JordanLebronFt,547
ATLANTA HAWKS,JordanFg,746
ATLANTA HAWKS,JordanLebronFt,424
INDIANA PACERS,JordanFg,726
INDIANA PACERS,JordanLebronFt,429
PHILADELPHIA 76ERS,JordanFg,700
PHILADELPHIA 76ERS,JordanLebronFt,322
NEW YORK KNICKERBOCKERS,JordanFg,685
NEW YORK KNICKERBOCKERS,JordanLebronFt,493
DETROIT PISTONS,JordanFg,680
DETROIT PISTONS,JordanLebronFt,502
BOSTON CELTICS,JordanFg,652
BOSTON CELTICS,JordanLebronFt,397
NEW JERSEY NETS,JordanFg,622
NEW JERSEY NETS,JordanLebronFt,439
WASHINGTON BULLETS,JordanFg,516
WASHINGTON BULLETS,JordanLebronFt,317
CHARLOTTE HORNETS,JordanFg,451
CHARLOTTE HORNETS,JordanLebronFt,253
MIAMI HEAT,JordanFg,430
MIAMI HEAT,JordanLebronFt,259
ORLANDO MAGIC,JordanFg,380
ORLANDO MAGIC,JordanLebronFt,183
PHOENIX SUNS,JordanFg,324
PHOENIX SUNS,JordanLebronFt,160
HOUSTON ROCKETS,JordanFg,309
HOUSTON ROCKETS,JordanLebronFt,158
UTAH JAZZ,JordanFg,308
UTAH JAZZ,JordanLebronFt,220
PORTLAND TRAILBLAZERS,JordanFg,300
PORTLAND TRAILBLAZERS,JordanLebronFt,202
DENVER NUGGETS,JordanFg,291
DENVER NUGGETS,JordanLebronFt,164
GOLDEN STATE WARRIORS,JordanFg,291
GOLDEN STATE WARRIORS,JordanLebronFt,145
SAN ANTONIO SPURS,JordanFg,289
SAN ANTONIO SPURS,JordanLebronFt,178
LOS ANGELES LAKERS,JordanFg,282
LOS ANGELES LAKERS,JordanLebronFt,178
SACRAMENTO KINGS,JordanFg,274
SACRAMENTO KINGS,JordanLebronFt,185
SEATTLE SUPERSONICS,JordanFg,269
SEATTLE SUPERSONICS,JordanLebronFt,200
DALLAS MAVERICKS,JordanFg,261
DALLAS MAVERICKS,JordanLebronFt,149
LOS ANGELES CLIPPERS,JordanFg,249
LOS ANGELES CLIPPERS,JordanLebronFt,162
MINNESOTA TIMBERWOLVES,JordanFg,206
MINNESOTA TIMBERWOLVES,JordanLebronFt,91
TORONTO RAPTORS,JordanFg,151
TORONTO RAPTORS,JordanLebronFt,70
VANCOUVER GRIZZLIES,JordanFg,54
VANCOUVER GRIZZLIES,JordanLebronFt,22
WASHINGTON WIZARDS,JordanFg,39
WASHINGTON WIZARDS,JordanLebronFt,26
CHICAGO BULLS,JordanFg,36
CHICAGO BULLS,JordanLebronFt,25
NEW ORLEANS HORNETS,JordanFg,35
NEW ORLEANS HORNETS,JordanLebronFt,13
MEMPHIS GRIZZLIES,JordanFg,31
MEMPHIS GRIZZLIES,JordanLebronFt,5
All,LebronFg,12481
All,LebronFt,7404
CHICAGO BULLS,LebronFg,603
CHICAGO BULLS,LebronFt,355
MILWAUKEE BUCKS,LebronFg,598
MILWAUKEE BUCKS,LebronFt,351
INDIANA PACERS,LebronFg,571
INDIANA PACERS,LebronFt,373
ATLANTA HAWKS,LebronFg,566
ATLANTA HAWKS,LebronFt,342
BOSTON CELTICS,LebronFg,549
BOSTON CELTICS,LebronFt,363
NEW YORK KNICKERBOCKERS,LebronFg,525
NEW YORK KNICKERBOCKERS,LebronFt,321
TORONTO RAPTORS,LebronFg,524
TORONTO RAPTORS,LebronFt,377
CHARLOTTE HORNETS,LebronFg,518
CHARLOTTE HORNETS,LebronFt,307
PHILADELPHIA 76ERS,LebronFg,516
PHILADELPHIA 76ERS,LebronFt,288
ORLANDO MAGIC,LebronFg,515
ORLANDO MAGIC,LebronFt,348
DETROIT PISTONS,LebronFg,496
DETROIT PISTONS,LebronFt,285
WASHINGTON WIZARDS,LebronFg,490
WASHINGTON WIZARDS,LebronFt,294
MIAMI HEAT,LebronFg,392
MIAMI HEAT,LebronFt,276
SAN ANTONIO SPURS,LebronFg,365
SAN ANTONIO SPURS,LebronFt,168
PHOENIX SUNS,LebronFg,345
PHOENIX SUNS,LebronFt,187
UTAH JAZZ,LebronFg,343
UTAH JAZZ,LebronFt,217
PORTLAND TRAILBLAZERS,LebronFg,342
PORTLAND TRAILBLAZERS,LebronFt,191
DENVER NUGGETS,LebronFg,341
DENVER NUGGETS,LebronFt,182
DALLAS MAVERICKS,LebronFg,331
DALLAS MAVERICKS,LebronFt,210
MEMPHIS GRIZZLIES,LebronFg,330
MEMPHIS GRIZZLIES,LebronFt,165
MINNESOTA TIMBERWOLVES,LebronFg,330
MINNESOTA TIMBERWOLVES,LebronFt,135
HOUSTON ROCKETS,LebronFg,307
HOUSTON ROCKETS,LebronFt,148
LOS ANGELES LAKERS,LebronFg,302
LOS ANGELES LAKERS,LebronFt,179
GOLDEN STATE WARRIORS,LebronFg,300
GOLDEN STATE WARRIORS,LebronFt,167
SACRAMENTO KINGS,LebronFg,298
SACRAMENTO KINGS,LebronFt,161
NEW JERSEY NETS,LebronFg,293
NEW JERSEY NETS,LebronFt,232
LOS ANGELES CLIPPERS,LebronFg,290
LOS ANGELES CLIPPERS,LebronFt,189
BROOKLYN NETS,LebronFg,257
BROOKLYN NETS,LebronFt,132
OKLAHOMA CITY THUNDER,LebronFg,231
OKLAHOMA CITY THUNDER,LebronFt,112
NEW ORLEANS PELICANS,LebronFg,191
NEW ORLEANS PELICANS,LebronFt,80
CLEVELAND CAVALIERS,LebronFg,148
CLEVELAND CAVALIERS,LebronFt,104
NEW ORLEANS HORNETS,LebronFg,147
NEW ORLEANS HORNETS,LebronFt,93
SEATTLE SUPERSONICS,LebronFg,85
SEATTLE SUPERSONICS,LebronFt,52
NEW ORLEANS/OKLAHOMA CITY HORNETS,LebronFg,42
NEW ORLEANS/OKLAHOMA CITY HORNETS,LebronFt,20