Month,Year,Value Column Name,Value
All,2010,Sightings,10534
All,2011,Sightings,10454
All,2012,Sightings,10643
All,2013,Sightings,10739
All,2014,Sightings,12617
All,2015,Sightings,15272
All,2016,Sightings,17230
All,2017,Sightings,19152
Jan,2010,Sightings,686
Jan,2011,Sightings,632
Jan,2012,Sightings,761
Jan,2013,Sightings,786
Jan,2014,Sightings,729
Jan,2015,Sightings,996
Jan,2016,Sightings,1151
Jan,2017,Sightings,1375
Feb,2010,Sightings,576
Feb,2011,Sightings,699
Feb,2012,Sightings,645
Feb,2013,Sightings,769
Feb,2014,Sightings,746
Feb,2015,Sightings,827
Feb,2016,Sightings,1195
Feb,2017,Sightings,1712
Mar,2010,Sightings,850
Mar,2011,Sightings,818
Mar,2012,Sightings,860
Mar,2013,Sightings,907
Mar,2014,Sightings,877
Mar,2015,Sightings,1142
Mar,2016,Sightings,1360
Mar,2017,Sightings,1424
Apr,2010,Sightings,848
Apr,2011,Sightings,908
Apr,2012,Sightings,846
Apr,2013,Sightings,954
Apr,2014,Sightings,956
Apr,2015,Sightings,1265
Apr,2016,Sightings,1332
Apr,2017,Sightings,1621
May,2010,Sightings,1011
May,2011,Sightings,1014
May,2012,Sightings,1104
May,2013,Sightings,1080
May,2014,Sightings,1211
May,2015,Sightings,1319
May,2016,Sightings,1704
May,2017,Sightings,1603
Jun,2010,Sightings,1063
Jun,2011,Sightings,1239
Jun,2012,Sightings,970
Jun,2013,Sightings,1009
Jun,2014,Sightings,1223
Jun,2015,Sightings,1441
Jun,2016,Sightings,1664
Jun,2017,Sightings,1779
Jul,2010,Sightings,1185
Jul,2011,Sightings,981
Jul,2012,Sightings,1023
Jul,2013,Sightings,1073
Jul,2014,Sightings,1272
Jul,2015,Sightings,1701
Jul,2016,Sightings,1687
Jul,2017,Sightings,2012
Aug,2010,Sightings,1172
Aug,2011,Sightings,954
Aug,2012,Sightings,1150
Aug,2013,Sightings,1045
Aug,2014,Sightings,1303
Aug,2015,Sightings,1570
Aug,2016,Sightings,1682
Aug,2017,Sightings,1793
Sep,2010,Sightings,1006
Sep,2011,Sightings,1055
Sep,2012,Sightings,970
Sep,2013,Sightings,932
Sep,2014,Sightings,1174
Sep,2015,Sightings,1488
Sep,2016,Sightings,1701
Sep,2017,Sightings,1669
Oct,2010,Sightings,809
Oct,2011,Sightings,788
Oct,2012,Sightings,844
Oct,2013,Sightings,856
Oct,2014,Sightings,1368
Oct,2015,Sightings,1437
Oct,2016,Sightings,1439
Oct,2017,Sightings,1666
Nov,2010,Sightings,738
Nov,2011,Sightings,675
Nov,2012,Sightings,739
Nov,2013,Sightings,683
Nov,2014,Sightings,854
Nov,2015,Sightings,1043
Nov,2016,Sightings,1190
Nov,2017,Sightings,1322
Dec,2010,Sightings,590
Dec,2011,Sightings,691
Dec,2012,Sightings,731
Dec,2013,Sightings,645
Dec,2014,Sightings,904
Dec,2015,Sightings,1043
Dec,2016,Sightings,1125
Dec,2017,Sightings,1176